name,family,components,realizability_margin,exact_beta,exact_gamma_norm,standardized_third_cumulant_norm,standardized_fourth_cumulant_norm,fourth_source_disagreement,tail_disagreement,reconstruction_failure,stage9_fourth_source_error,grad_fourth_source_error,best_algebraic_fourth_source_error,both_algebraic_closures_unsafe,stage9_status,grad_status,source_sensor_active,combined_sensor_active
random_0080,random_multivariate_mixture,4,0.0026462644490679735,-0.01939095268671012,1.435036499945062,3.2503417470460327,3.171225926403629,1.4120871373964083,0.6761252320429321,False,2.6037910941278146,0.6362179370063866,0.6362179370063866,True,PASS,PASS,True,True
random_0081,random_multivariate_mixture,4,0.0016537531852249465,-0.0980161452353014,0.20449456958201714,1.002343939567691,12.822941289248647,0.18136700305462758,0.42917561138462745,False,0.314506564583576,0.2724604231624707,0.2724604231624707,True,PASS,PASS,True,True
random_0082,random_multivariate_mixture,3,0.03700495042999004,-0.015622011428714408,0.11322820366547076,1.559850143004984,3.9356983716878133,0.18786000838972688,0.7432069721511464,False,0.12442278665467449,0.07679178557287819,0.07679178557287819,True,PASS,PASS,True,True
random_0083,random_multivariate_mixture,4,6.7018565458410245e-06,-0.05858614760535293,20.68019917503814,12.786448516893765,60.813294571389335,inf,inf,True,inf,0.3795389575633035,0.3795389575633035,True,FAILED,PASS,True,True
random_0084,random_multivariate_mixture,3,1.6367941241137393e-05,-0.11290402736149269,0.5091419026973585,5.599693896529596,20.631851607634687,0.09786350872720874,0.12019385842917658,False,1.275109359864494,1.4594731071019977,1.275109359864494,True,PASS,PASS,False,False
random_0085,random_multivariate_mixture,4,3.6689921092595175e-05,-0.08595952581991312,2.7542706876283924,3.0635010479775855,8.807357554938756,1.81771550862973,0.6755330290834124,False,4.451580231873073,2.188829480549029,2.188829480549029,True,PASS,PASS,True,True
random_0086,random_multivariate_mixture,3,0.07418609784962546,-0.025867949553247945,0.05156987153423577,0.40771079967519425,0.8788454792259008,0.03636669534740912,0.07679812336317242,False,0.04608620934555406,0.020351028212875225,0.020351028212875225,False,PASS,PASS,False,False
random_0087,random_multivariate_mixture,3,0.0006601746206986079,-0.07459672634062649,2.4934647112101445,10.192904735377386,33.18334073457757,1.5388686021448204,0.8040776770926776,False,4.741839061800938,0.38627559859722327,0.38627559859722327,True,PASS,PASS,True,True
random_0088,random_multivariate_mixture,4,0.0006542819020717482,-0.04904502919224542,0.07802817889545316,1.5898417366098077,6.1061543505045766,0.10276666101935339,0.1493741061062604,False,0.07669978048381323,0.047668675135637696,0.047668675135637696,True,PASS,PASS,True,True
random_0089,random_multivariate_mixture,2,0.0022955131086422713,-0.10594103679618919,3.5398744327043064,2.3541727366229153,13.502633083237468,0.9856802238177879,0.3080592473900132,False,1.7577975675152215,0.3235276955015209,0.3235276955015209,True,PASS,PASS,True,True
random_0090,random_multivariate_mixture,2,0.005616004108004028,-0.026663599935061715,0.06852436159405004,0.6183299710838505,2.4047644680904607,0.06087779089470322,0.09379312348799601,False,0.034024831747468676,0.04247169256373688,0.034024831747468676,True,PASS,PASS,False,False
random_0091,random_multivariate_mixture,4,0.00016514387015921148,-0.05238612226697762,2.0377450912636546,3.278704349767989,7.5782628688428275,1.6810022413147,0.35962115437101627,False,3.594532245720736,0.944962081518377,0.944962081518377,True,PASS,PASS,True,True
random_0092,random_multivariate_mixture,3,0.005779058090597966,-0.00862957184214908,0.9275679351729273,11.648176801766175,94.72477922846569,1.2647330968664015,0.14584573045361518,False,1.573627647426224,0.5805314230488858,0.5805314230488858,True,PASS,PASS,True,True
random_0093,random_multivariate_mixture,2,0.0007431754610014259,-0.05214486003353941,0.9426724766754603,3.1077778662685054,5.460111849212,1.1038135496393249,0.6701060817496695,False,1.286147477910398,0.26200622894863634,0.26200622894863634,True,PASS,PASS,True,True
random_0094,random_multivariate_mixture,4,0.001218595329242275,-0.07636577495473067,1.3580941805136804,1.8525075291479152,10.988668555850637,1.10489403608029,0.2659666122873791,False,1.333849675553652,0.406250031674668,0.406250031674668,True,PASS,PASS,True,True
random_0095,random_multivariate_mixture,2,9.937966754944034e-05,-0.11790648558507523,0.33937507393877314,2.552495598048514,10.370219110830433,0.24963931657262795,0.08810280355125553,False,0.07761736815938743,0.23328581920637007,0.07761736815938743,True,PASS,PASS,True,True
random_0096,random_multivariate_mixture,2,0.0003757598799345756,-0.06905841908345463,0.3738073153568972,3.060020760268143,5.600488319739218,0.24041622748143887,0.24742132310401038,False,0.23509412830920481,0.12868843331511903,0.12868843331511903,True,PASS,PASS,True,True
random_0097,random_multivariate_mixture,4,0.03994517078178443,-0.010726890358089955,0.14369251800176802,3.141190283795438,19.140805840094853,0.25871023608700183,0.6286121354520807,False,0.19506452303780658,0.15941373710587045,0.15941373710587045,True,PASS,PASS,True,True
random_0098,random_multivariate_mixture,3,0.0034433239380166404,-0.03377936167529273,0.6006409228752251,3.309887220204918,3.4825312799948387,1.4436924275368075,0.7074299380022193,False,2.0436408680314067,1.0429006418313669,1.0429006418313669,True,PASS,PASS,True,True
random_0099,random_multivariate_mixture,3,0.0005643054474406623,-0.06385716909992319,1.8851404436125279,5.783148277008151,12.978531413498168,1.012627196493314,0.3438587036303398,False,0.5069336302738537,0.8217147737180549,0.5069336302738537,True,PASS,PASS,True,True
