name,family,components,initial_realizability_margin,cubic_beta,gamma_norm,cubic_active,exact_euler_margin,exact_euler_finite,single_gaussian_status,single_gaussian_tail_relative_error,single_gaussian_source_relative_error,single_gaussian_source_direction_cosine,single_gaussian_euler_step_margin,stage9_tensor_mixture_tail_status,stage9_tensor_mixture_tail_tail_relative_error,stage9_tensor_mixture_tail_source_relative_error,stage9_tensor_mixture_tail_source_direction_cosine,stage9_tensor_mixture_tail_euler_step_margin,grad_hyqmom_gqmom_status,grad_hyqmom_gqmom_tail_relative_error,grad_hyqmom_gqmom_source_relative_error,grad_hyqmom_gqmom_source_direction_cosine,grad_hyqmom_gqmom_euler_step_margin,stage9_finite_map_status,stage9_finite_map_margin,guarded_grad_map_status,guarded_grad_map_margin,guarded_grad_map_limiter_fraction
random_0040,random_multivariate_mixture,3,7.312908616740045e-06,-0.12174982483100472,22.6729805172993,True,1.4202919312196367e-05,True,PASS,5.35728584586659,40.06236493742374,-0.4027136444258798,-0.010559215409275336,PASS,0.037264480563124376,2.992770774701989,0.2209260301566233,-0.0017702793542318381,PASS,0.015790992787911275,1.14520346057314,0.6130164842123441,-6.135093194499788e-05,PASS,5.528603271112798e-05,PASS,1.0000110317523217e-12,0.9226996656177995
random_0041,random_multivariate_mixture,3,0.0008872102561451405,-0.05599594258513005,14.694530222092817,True,0.001509778833990668,True,PASS,0.8855393848451621,168.07303793339426,-0.9492519233613594,-0.0017279055180396984,PASS,0.16757241962131292,6.19571885995177,0.8110087826281813,-0.029507301719273713,PASS,0.02233830731826163,0.7933591890629176,0.7165578925475709,-0.005073647635878267,PASS,0.0014246098294870466,PASS,1.000035595259556e-12,0.41439793808051156
random_0042,random_multivariate_mixture,4,0.0015289059918421504,-0.056992753197717926,2.2265552851662966,True,0.0020321045448324962,True,PASS,0.9634291820936938,208.12893858638523,-0.9617735293089863,-0.0016604849217350527,PASS,0.1972265350109417,8.23553796903442,-0.2956927847236109,-0.009564285674668929,PASS,0.015337555926852925,0.20272812223154804,0.985205908652349,0.0021121941261117404,PASS,0.0020545914148532496,PASS,0.00211102610841449,1.0
random_0043,random_multivariate_mixture,3,1.2685928999863512e-06,-0.111910492540808,37.33209593512991,True,1.1449563370287256e-06,True,PASS,1.2379852197357835,274.52571205255884,-0.5541650946459643,-0.029736495506698494,PASS,0.10943112930236601,16.118803226121642,-0.5193225040517213,-0.03678252263375403,PASS,0.026957851187578628,2.4738841016374455,0.13570619995774297,-0.0035628793093003554,PASS,2.9766800840916266e-05,PASS,1.000004577714059e-12,0.15555823774610628
random_0044,random_multivariate_mixture,4,0.0015752744946245644,-0.09784070272653346,5.1044987443528,True,0.002829505313571244,True,PASS,2.089198595344929,10.196656188055245,-0.295125737915284,0.0026997458164370477,PASS,0.12531473317935918,2.461258216381755,0.2333829590219344,0.0022207612013844746,PASS,0.04200165777528806,0.720747811798684,0.729260734427699,0.0022055452159189357,PASS,0.002858492492078464,PASS,0.0022171042173397422,1.0
random_0045,random_multivariate_mixture,4,0.0011425091717034994,-0.02493322182189845,0.8840346074342887,True,0.002491513149115522,True,PASS,0.8845256252533076,4.188178831695969,-0.6651904702219307,0.0030548075075653913,PASS,0.492299784121112,1.9691185282051469,-0.025624421367681602,-4.384565824628068e-05,PASS,0.16774503225025575,0.7029511478601165,0.8700368119731091,0.002391266197311433,PASS,0.0021973868180044163,PASS,0.0023906390475907516,1.0
random_0046,random_multivariate_mixture,3,0.0006987440939137356,-0.08299417729417173,7.032451685370759,True,0.0027739686262923608,True,PASS,8.982844960482003,6.66859798094155,-0.28164668408937205,-0.0095019540853624,PASS,0.4880967182272508,5.412575796758792,0.7931129567125168,0.0027064388830905658,PASS,0.07179891688344084,1.0926697508059464,0.8266393999546111,0.00032678734994145156,PASS,0.0027936421638916423,PASS,0.0003394837451544142,1.0
random_0047,random_multivariate_mixture,4,0.0009526880985524299,-0.027311386181399364,1.2262561338746791,True,0.0027924836857970868,True,PASS,0.8913309895867987,8.541085026004861,-0.49410019525526605,0.001564398276296699,PASS,0.844108106344163,3.196258184211868,-0.6223105220524815,-0.005090194357463608,PASS,0.11292525936821655,1.2661469143400275,0.5011757918341897,0.0026872184186014928,PASS,0.002513021979276088,PASS,0.002680219212033039,1.0
random_0048,random_multivariate_mixture,3,7.336387426584639e-05,-0.11615487463200053,21.42443477382861,True,0.000417535089870913,True,PASS,7.06447697124016,13.433554169101214,-0.6321335426969925,-0.05311506135331585,PASS,0.08110839830493505,2.398209632261353,0.6060722719033846,-0.006935599419065826,PASS,0.032461506381009315,0.5652984104856319,0.8470904587579244,-0.00017148645635499442,PASS,0.00045980576558629887,PASS,1.0000270403235487e-12,0.9085873161017312
random_0049,random_multivariate_mixture,3,6.934364976479705e-05,-0.10206766570061643,4.050428265729686,True,0.00046490974184688346,True,PASS,0.9644780497376353,616.4197275510294,-0.843957864668619,-0.30709772109701516,PASS,0.2648374237042025,63.063472574490895,-0.5409276452853309,-0.0792040282030624,PASS,0.06260775043936198,2.6698728987513234,-0.5453662470485477,-0.0026050522972971696,PASS,0.0004257108542024786,PASS,1.0000454249857214e-12,0.2358863732888861
random_0050,random_multivariate_mixture,4,0.0002692659177895305,-0.11703118747759488,3.027164762269388,True,0.0004022273482821063,True,PASS,2.3291568684326935,3.0164300126903445,-0.37135457986537646,0.00040848314154335355,PASS,0.07101498773676984,0.7604414882239804,0.6939449602842752,0.00043374001903010784,PASS,0.06236265024955729,0.8271427489421729,0.5895334461662307,0.000504767666189486,PASS,0.0004284934081316015,PASS,0.0005240798342834259,1.0
random_0051,random_multivariate_mixture,4,0.00310161801385916,-0.0866036889930547,0.4631800813610513,True,0.003965768638333151,True,PASS,0.5151135820095115,1.1169030322147269,0.8067597376077118,0.003921358998219473,PASS,0.6909733625871302,0.5029184010337,0.8658851020018434,0.003917455052703439,PASS,0.49729825047205023,0.19845500021733714,0.9842630506904171,0.0029834326721832898,PASS,0.00396691508268336,PASS,0.0030019290833502815,1.0
random_0052,random_multivariate_mixture,2,8.893623577943216e-06,-0.11841829900323163,6.508743020859546,True,1.8665775714642987e-05,True,PASS,0.9184103973279525,372.5892821205332,-0.2674314838282499,-7.386334646404948,PASS,0.09708849091398743,23.67098460892673,-0.12515134632367605,-0.04751149983079537,PASS,0.013112143374629215,0.3571292844151654,0.9383147238689439,-0.0004447621576486694,PASS,2.6351558394398712e-05,PASS,1.0000122680672381e-12,0.19475682400638497
random_0053,random_multivariate_mixture,2,4.269806715164452e-09,-0.12826167312730946,2772.2815642422215,True,-0.00838604468089348,True,PASS,0.7688241110132393,234722.83000449763,-0.7227297816347974,-0.5162814896454113,FAILED,,,,,PASS,5.9032271508869817e-05,1.1970328941823214,0.2830097571469507,-0.013226249768112961,FAILED,,PASS,9.999520709323205e-13,0.00435855943709952
random_0054,random_multivariate_mixture,2,7.038354560530285e-05,-0.05856221888621249,0.3605386954907472,True,0.00011460708863869073,True,PASS,0.9295663101494147,1.9392989028735077,-0.9814329982108003,0.0001125086147592707,PASS,0.6304806641886834,0.6283727180141273,0.8402106318130566,0.00011370453848850209,PASS,0.11756986634465041,0.14721325254071227,0.9987883160179147,-0.0017197964850257505,PASS,0.00012726969841952355,PASS,1.0000069379265642e-12,0.1490035465883919
random_0055,random_multivariate_mixture,2,0.0009028742109336953,-0.07537272243397038,0.5218656146219547,True,0.004629408652802065,True,PASS,12.38913931665948,8.461012671979551,-0.3788188191043556,0.0038275466159762937,PASS,0.1295322367466064,0.14225347541561376,0.9901535299561822,0.004615103451028936,PASS,0.040692809022695925,0.08145387110148387,0.9973335179803988,0.0045576414831104,PASS,0.004658260013191057,PASS,0.004588064564520216,1.0
random_0056,random_multivariate_mixture,4,0.0011915292739482816,-0.03680444345989878,3.6923876529124087,True,0.004436745502877706,True,PASS,1.2052039891070303,5.532787580201243,-0.30291953844826536,-0.01854113456946231,PASS,0.5341909851841845,6.315429676799563,-0.1673803287183429,-0.0026609090913191987,PASS,0.1724835976885687,0.7817934820860024,0.8753238137042368,0.0018603778891554772,PASS,0.003756887914324228,PASS,0.0018381058238844796,1.0
random_0057,random_multivariate_mixture,2,3.5792066006730174e-06,-0.11045802821417398,0.059010479106905656,True,2.847431299972086e-06,True,PASS,0.18847728462935134,0.2577367478545309,0.998403721592665,2.9086742955653913e-06,PASS,0.08698095353765539,0.07134830673159073,0.99934339979507,2.8798723446447274e-06,PASS,0.12924049545575106,0.1271920894493171,0.9921388068723104,-0.0011972118583466792,PASS,3.39369519224093e-05,PASS,1.0000077300676214e-12,0.41106419579126857
